algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,1113,0.5025897898461187,0.5031784400759591,0.0016516308067441386,0.08366785999395593,0.7205750224618149,0.1000975181276981
crepe,10,0.47998464887959963,0.4302597264945449,0.11079690838155884,0.20449426133351456,0.7,0.0978540480136871
pesto,1113,0.5809570602281817,0.4071359925013232,0.07622423053357623,0.23143255768351273,0.7861635220125787,0.3552008718787857
pesto_ft,1113,0.5820778381710768,0.40205537005217284,0.021240943610847506,0.08164330874112281,0.7924528301886793,0.3501903139542932
praat,1113,0.3644479476819624,0.2693567862892447,0.017139224227441886,0.062340939697412216,0.37376460017969454,2.1446587446699223e-15
pyin,362,0.66306730655701,0.47938985391842204,0.053539215986232784,0.06081664708590383,0.7651933701657458,0.0100000000002381
tcrepe,1113,0.5137446850216801,0.47431343240596496,0.03840580449347143,0.12991702613980047,0.7493261455525606,0.1161305099725736
tcrepe_ftoth,1113,0.5327379039574891,0.4472656863763478,0.20379841941264856,0.23922089656859782,0.7367475292003594,0.0033948827069252
tcrepe_ftsp,1113,0.5421917568595032,0.43265693841203257,0.23895531823386523,0.2606432140114541,0.7457322551662174,0.0167923688888551
tcrepe_ftspV,1113,0.5421917568595032,0.43265693841203257,0.24383283295709873,0.2658014058780915,0.7457322551662174,0.0167923688888551
